"","ensembl_gene_id","symbol"
"angiogenesis.1","ENSG00000139567","ACVRL1"
"angiogenesis.2","ENSG00000101384","JAG1"
"angiogenesis.3","ENSG00000154188","ANGPT1"
"angiogenesis.4","ENSG00000091879","ANGPT2"
"angiogenesis.5","ENSG00000174059","CD34"
"angiogenesis.6","ENSG00000070831","CDC42"
"angiogenesis.7","ENSG00000112062","MAPK14"
"angiogenesis.8","ENSG00000025708","TYMP"
"angiogenesis.9","ENSG00000078401","EDN1"
"angiogenesis.10","ENSG00000125266","EFNB2"
"angiogenesis.11","ENSG00000179388","EGR3"
"angiogenesis.12","ENSG00000196411","EPHB4"
"angiogenesis.13","ENSG00000120899","PTK2B"
"angiogenesis.14","ENSG00000138685","FGF2"
"angiogenesis.15","ENSG00000077782","FGFR1"
"angiogenesis.16","ENSG00000165197","VEGFD"
"angiogenesis.17","ENSG00000176692","FOXC2"
"angiogenesis.18","ENSG00000102755","FLT1"
"angiogenesis.19","ENSG00000037280","FLT4"
"angiogenesis.20","ENSG00000115414","FN1"
"angiogenesis.21","ENSG00000112293","GPLD1"
"angiogenesis.22","ENSG00000123358","NR4A1"
"angiogenesis.23","ENSG00000125968","ID1"
"angiogenesis.24","ENSG00000161638","ITGA5"
"angiogenesis.25","ENSG00000138448","ITGAV"
"angiogenesis.26","ENSG00000150093","ITGB1"
"angiogenesis.27","ENSG00000128052","KDR"
"angiogenesis.28","ENSG00000134013","LOXL2"
"angiogenesis.29","ENSG00000157227","MMP14"
"angiogenesis.30","ENSG00000148400","NOTCH1"
"angiogenesis.31","ENSG00000197461","PDGFA"
"angiogenesis.32","ENSG00000113721","PDGFRB"
"angiogenesis.33","ENSG00000119630","PGF"
"angiogenesis.34","ENSG00000121879","PIK3CA"
"angiogenesis.35","ENSG00000073756","PTGS2"
"angiogenesis.36","ENSG00000169398","PTK2"
"angiogenesis.37","ENSG00000169855","ROBO1"
"angiogenesis.38","ENSG00000160691","SHC1"
"angiogenesis.39","ENSG00000112658","SRF"
"angiogenesis.40","ENSG00000162367","TAL1"
"angiogenesis.41","ENSG00000241186","TDGF1"
"angiogenesis.42","ENSG00000120156","TEK"
"angiogenesis.43","ENSG00000160293","VAV2"
"angiogenesis.44","ENSG00000112715","VEGFA"
"angiogenesis.45","ENSG00000150630","VEGFC"
"angiogenesis.46","ENSG00000156427","FGF18"
"angiogenesis.47","ENSG00000099250","NRP1"
"angiogenesis.48","ENSG00000112902","SEMA5A"
"angiogenesis.49","ENSG00000131477","RAMP2"
"angiogenesis.50","ENSG00000185043","CIB1"
"angiogenesis.51","ENSG00000164283","ESM1"
"angiogenesis.52","ENSG00000070495","JMJD6"
"angiogenesis.53","ENSG00000164683","HEY1"
"angiogenesis.54","ENSG00000020181","ADGRA2"
"angiogenesis.55","ENSG00000166923","GREM1"
"angiogenesis.56","ENSG00000102359","SRPX2"
"angiogenesis.57","ENSG00000203883","SOX18"
"angiogenesis.58","ENSG00000197702","PARVA"
"angiogenesis.59","ENSG00000173821","RNF213"
"angiogenesis.60","ENSG00000129173","E2F8"
"angiogenesis.61","ENSG00000146374","RSPO3"
"angiogenesis.62","ENSG00000154124","OTULIN"
"angiogenesis.63","ENSG00000165891","E2F7"
"angiogenesis.64","ENSG00000183287","CCBE1"
"angiogenesis.65","ENSG00000164619","BMPER"
"angiogenesis.66","ENSG00000198435","NRARP"
"angiogenesis.67","ENSG00000123610","TNFAIP6"
"angiogenesis.68","ENSG00000038427","VCAN"
"angiogenesis.69","ENSG00000118785","SPP1"
"angiogenesis.70","ENSG00000118971","CCND2"
"angiogenesis.71","ENSG00000145675","PIK3R1"
"angiogenesis.72","ENSG00000159167","STC1"
"angiogenesis.73","ENSG00000184916","JAG2"
"apoptosis.1","ENSG00000120868","APAF1"
"apoptosis.2","ENSG00000128272","ATF4"
"apoptosis.3","ENSG00000149311","ATM"
"apoptosis.4","ENSG00000030110","BAK1"
"apoptosis.5","ENSG00000015475","BID"
"apoptosis.6","ENSG00000176720","BOK"
"apoptosis.7","ENSG00000139618","BRCA2"
"apoptosis.8","ENSG00000106144","CASP2"
