Sample,link,miRW-Flow
TCGA_CU_A0YN_01A,AANAT_INMT,0.14315
TCGA_CU_A0YN_01A,AOC1_INMT,0.28831
TCGA_CU_A0YN_01A,DDC_INMT,0.13407
TCGA_CU_A0YN_01A,IDO1_INMT,0.56855
TCGA_CU_A0YN_01A,IDO2_INMT,0.14113
TCGA_CU_A0YN_01A,INMT_MAOB,0.18347
TCGA_CU_A0YN_01A,INMT_MAOA,0.46875
TCGA_CU_A0YN_01A,ACAN_DCN,0.60484
TCGA_CU_A0YN_01A,BGN_DCN,0.99899
TCGA_CU_A0YN_01A,CCN2_DCN,0.85988
TCGA_CU_A0YN_01A,COL14A1_DCN,0.71875
TCGA_CU_A0YN_01A,COL1A1_DCN,0.99496
TCGA_CU_A0YN_01A,COL1A2_DCN,0.99093
TCGA_CU_A0YN_01A,COL3A1_DCN,0.99698
TCGA_CU_A0YN_01A,DCN_FGF7,0.78125
TCGA_CU_A0YN_01A,DCN_ERBB2,0.93649
TCGA_CU_A0YN_01A,DCN_TLR4,0.72883
TCGA_CU_A0YN_01A,DCN_MFAP2,0.87802
TCGA_CU_A0YN_01A,DCN_VCAN,0.92742
TCGA_CU_A0YN_01A,DCN_FGF5,0.51512
TCGA_CU_A0YN_01A,DCN_FGF8,0.72278
TCGA_CU_A0YN_01A,DCN_FBN1,0.88004
TCGA_CU_A0YN_01A,DCN_EGFR,1.0
TCGA_CU_A0YN_01A,DCN_VTN,0.58871
TCGA_CU_A0YN_01A,DCN_FGF17,0.50605
TCGA_CU_A0YN_01A,DCN_SDC1,0.98992
TCGA_CU_A0YN_01A,DCN_FGF22,0.54133
TCGA_CU_A0YN_01A,DCN_LUM,0.99597
TCGA_CU_A0YN_01A,DCN_ERBB4,0.71673
TCGA_CU_A0YN_01A,DCN_FGF9,0.74093
TCGA_CU_A0YN_01A,DCN_TGFB1,0.87399
TCGA_CU_A0YN_01A,DCN_FN1,0.95665
TCGA_CU_A0YN_01A,DCN_SPARC,0.98891
TCGA_CU_A0YN_01A,DCN_FGF18,0.73085
TCGA_CU_A0YN_01A,DCN_TLR2,0.93952
TCGA_CU_A0YN_01A,DCN_FGF6,0.51815
TCGA_CU_A0YN_01A,DCN_KDR,0.87198
TCGA_CU_A0YN_01A,DCN_FGF20,0.5252
TCGA_CU_A0YN_01A,DCN_EGF,0.69355
TCGA_CU_A0YN_01A,DCN_FGF3,0.51815
TCGA_CU_A0YN_01A,DCN_YBX1,0.99395
TCGA_CU_A0YN_01A,DCN_MET,0.93044
TCGA_CU_A0YN_01A,DCN_ERBB3,0.92339
TCGA_CU_A0YN_01A,DCN_YBX3,0.89113
TCGA_CU_A0YN_01A,DCN_FGF4,0.51815
TCGA_CU_A0YN_01A,DCN_ELN,0.70665
TCGA_CU_A0YN_01A,DCN_FMOD,0.87702
TCGA_CU_A0YN_01A,DCN_P3H3,0.81754
TCGA_CU_A0YN_01A,DCN_HSPG2,0.81149
TCGA_CU_A0YN_01A,DCN_TGFB3,0.77117
TCGA_CU_A0YN_01A,DCN_IGF1,0.74798
TCGA_CU_A0YN_01A,DCN_FGF16,0.52117
TCGA_CU_A0YN_01A,DCN_FGF10,0.54234
TCGA_CU_A0YN_01A,ACY1_OTC,0.04536
TCGA_CU_A0YN_01A,ARG1_OTC,0.04536
TCGA_CU_A0YN_01A,ARG2_OTC,0.04536
TCGA_CU_A0YN_01A,ASL_OTC,0.04536
TCGA_CU_A0YN_01A,ASS1_OTC,0.04536
TCGA_CU_A0YN_01A,CAD_OTC,0.04536
TCGA_CU_A0YN_01A,CPS1_OTC,0.04536
TCGA_CU_A0YN_01A,GBE1_OTC,0.04536
TCGA_CU_A0YN_01A,NAGS_OTC,0.04536
TCGA_CU_A0YN_01A,NOS1_OTC,0.04536
TCGA_CU_A0YN_01A,NOS2_OTC,0.04536
TCGA_CU_A0YN_01A,NOS3_OTC,0.04536
TCGA_CU_A0YN_01A,OAT_OTC,0.04536
TCGA_CU_A0YN_01A,ADCYAP1_SCTR,0.10484
TCGA_CU_A0YN_01A,ANO6_SCTR,0.26411
TCGA_CU_A0YN_01A,GNAS_SCTR,0.74294
TCGA_CU_A0YN_01A,GNB1_SCTR,0.51008
TCGA_CU_A0YN_01A,GNG2_SCTR,0.12298
TCGA_CU_A0YN_01A,SCT_SCTR,0.10585
TCGA_CU_A0YN_01A,SCTR_VIP,0.10181
TCGA_CU_A0YN_01A,ADGRV1_USH1C,0.12802
TCGA_CU_A0YN_01A,ANKS4B_USH1C,0.12601
TCGA_CU_A0YN_01A,CDH23_USH1C,0.14919
TCGA_CU_A0YN_01A,CDHR5_USH1C,0.11895
TCGA_CU_A0YN_01A,MYO7A_USH1C,0.4375
TCGA_CU_A0YN_01A,MYO7B_USH1C,0.14012
TCGA_CU_A0YN_01A,PCDH15_USH1C,0.12399
TCGA_CU_A0YN_01A,PDZD7_USH1C,0.36694
TCGA_CU_A0YN_01A,USH1C_USH2A,0.125
TCGA_CU_A0YN_01A,USH1C_WHRN,0.16129
TCGA_CU_A0YN_01A,USH1C_USHBP1,0.13206
TCGA_CU_A0YN_01A,USH1C_USH1G,0.20565
TCGA_CU_A0YN_01A,ADI1_MRI1,0.48891
TCGA_CU_A0YN_01A,APIP_MRI1,0.39113
