Sample,link,miRW-Imp
TCGA_CU_A0YN_01A,AANAT_INMT,0.0667
TCGA_CU_A0YN_01A,AOC1_INMT,0.2211
TCGA_CU_A0YN_01A,DDC_INMT,0.07465
TCGA_CU_A0YN_01A,IDO1_INMT,0.10307
TCGA_CU_A0YN_01A,IDO2_INMT,0.07279
TCGA_CU_A0YN_01A,INMT_MAOB,0.09078
TCGA_CU_A0YN_01A,INMT_MAOA,0.16617
TCGA_CU_A0YN_01A,ACAN_DCN,1.53733
TCGA_CU_A0YN_01A,BGN_DCN,3.31591
TCGA_CU_A0YN_01A,CCN2_DCN,2.56291
TCGA_CU_A0YN_01A,COL14A1_DCN,2.03388
TCGA_CU_A0YN_01A,COL1A1_DCN,3.24998
TCGA_CU_A0YN_01A,COL1A2_DCN,3.18858
TCGA_CU_A0YN_01A,COL3A1_DCN,3.27731
TCGA_CU_A0YN_01A,DCN_FGF7,1.48898
TCGA_CU_A0YN_01A,DCN_ERBB2,2.50482
TCGA_CU_A0YN_01A,DCN_TLR4,1.63991
TCGA_CU_A0YN_01A,DCN_MFAP2,2.7029
TCGA_CU_A0YN_01A,DCN_VCAN,2.35824
TCGA_CU_A0YN_01A,DCN_FGF5,1.28886
TCGA_CU_A0YN_01A,DCN_FGF8,1.30568
TCGA_CU_A0YN_01A,DCN_FBN1,2.1792
TCGA_CU_A0YN_01A,DCN_EGFR,3.38091
TCGA_CU_A0YN_01A,DCN_VTN,1.50194
TCGA_CU_A0YN_01A,DCN_FGF17,1.24987
TCGA_CU_A0YN_01A,DCN_SDC1,3.14993
TCGA_CU_A0YN_01A,DCN_FGF22,1.35384
TCGA_CU_A0YN_01A,DCN_LUM,3.27214
TCGA_CU_A0YN_01A,DCN_ERBB4,1.27012
TCGA_CU_A0YN_01A,DCN_FGF9,1.35985
TCGA_CU_A0YN_01A,DCN_TGFB1,2.66683
TCGA_CU_A0YN_01A,DCN_FN1,3.3246
TCGA_CU_A0YN_01A,DCN_SPARC,3.07548
TCGA_CU_A0YN_01A,DCN_FGF18,1.33634
TCGA_CU_A0YN_01A,DCN_TLR2,2.59441
TCGA_CU_A0YN_01A,DCN_FGF6,1.29175
TCGA_CU_A0YN_01A,DCN_KDR,2.053
TCGA_CU_A0YN_01A,DCN_FGF20,1.30673
TCGA_CU_A0YN_01A,DCN_EGF,1.31902
TCGA_CU_A0YN_01A,DCN_FGF3,1.29094
TCGA_CU_A0YN_01A,DCN_YBX1,3.2445
TCGA_CU_A0YN_01A,DCN_MET,2.46647
TCGA_CU_A0YN_01A,DCN_ERBB3,2.29898
TCGA_CU_A0YN_01A,DCN_YBX3,2.90401
TCGA_CU_A0YN_01A,DCN_FGF4,1.29013
TCGA_CU_A0YN_01A,DCN_ELN,1.98205
TCGA_CU_A0YN_01A,DCN_FMOD,2.69738
TCGA_CU_A0YN_01A,DCN_P3H3,2.40514
TCGA_CU_A0YN_01A,DCN_HSPG2,2.38291
TCGA_CU_A0YN_01A,DCN_TGFB3,2.21719
TCGA_CU_A0YN_01A,DCN_IGF1,1.3868
TCGA_CU_A0YN_01A,DCN_FGF16,1.29534
TCGA_CU_A0YN_01A,DCN_FGF10,1.36269
TCGA_CU_A0YN_01A,ACY1_OTC,0.07601
TCGA_CU_A0YN_01A,ARG1_OTC,0.13742
TCGA_CU_A0YN_01A,ARG2_OTC,0.16699
TCGA_CU_A0YN_01A,ASL_OTC,0.1288
TCGA_CU_A0YN_01A,ASS1_OTC,0.24283
TCGA_CU_A0YN_01A,CAD_OTC,0.2061
TCGA_CU_A0YN_01A,CPS1_OTC,0.06838
TCGA_CU_A0YN_01A,GBE1_OTC,0.09901
TCGA_CU_A0YN_01A,NAGS_OTC,0.10984
TCGA_CU_A0YN_01A,NOS1_OTC,0.05912
TCGA_CU_A0YN_01A,NOS2_OTC,0.06342
TCGA_CU_A0YN_01A,NOS3_OTC,0.09907
TCGA_CU_A0YN_01A,OAT_OTC,0.14903
TCGA_CU_A0YN_01A,ADCYAP1_SCTR,0.08243
TCGA_CU_A0YN_01A,ANO6_SCTR,0.20408
TCGA_CU_A0YN_01A,GNAS_SCTR,0.17002
TCGA_CU_A0YN_01A,GNB1_SCTR,0.18539
TCGA_CU_A0YN_01A,GNG2_SCTR,0.06201
TCGA_CU_A0YN_01A,SCT_SCTR,0.06642
TCGA_CU_A0YN_01A,SCTR_VIP,0.05505
TCGA_CU_A0YN_01A,ADGRV1_USH1C,0.08065
TCGA_CU_A0YN_01A,ANKS4B_USH1C,0.08203
TCGA_CU_A0YN_01A,CDH23_USH1C,0.08233
TCGA_CU_A0YN_01A,CDHR5_USH1C,0.04991
TCGA_CU_A0YN_01A,MYO7A_USH1C,0.07215
TCGA_CU_A0YN_01A,MYO7B_USH1C,0.06875
TCGA_CU_A0YN_01A,PCDH15_USH1C,0.06933
TCGA_CU_A0YN_01A,PDZD7_USH1C,0.06932
TCGA_CU_A0YN_01A,USH1C_USH2A,0.0613
TCGA_CU_A0YN_01A,USH1C_WHRN,0.07939
TCGA_CU_A0YN_01A,USH1C_USHBP1,0.05336
TCGA_CU_A0YN_01A,USH1C_USH1G,0.10264
TCGA_CU_A0YN_01A,ADI1_MRI1,0.3266
TCGA_CU_A0YN_01A,APIP_MRI1,0.25482
TCGA_CU_A0YN_01A,ENOPH1_MRI1,0.20201
TCGA_CU_A0YN_01A,MRI1_MTAP,0.19438
TCGA_CU_A0YN_01A,ADRM1_PSMA4,2.44757
TCGA_CU_A0YN_01A,AKIRIN2_PSMA4,2.24284
TCGA_CU_A0YN_01A,CHRNA3_PSMA4,1.03904
TCGA_CU_A0YN_01A,CHRNA5_PSMA4,1.36181
TCGA_CU_A0YN_01A,CHRNB4_PSMA4,1.00541
TCGA_CU_A0YN_01A,DESI1_PSMA4,2.08735
TCGA_CU_A0YN_01A,POMP_PSMA4,2.69984
TCGA_CU_A0YN_01A,PSMA1_PSMA4,1.9408
TCGA_CU_A0YN_01A,PSMA2_PSMA4,1.19622
TCGA_CU_A0YN_01A,PSMA3_PSMA4,2.40937
TCGA_CU_A0YN_01A,PSMA4_PSME2,2.46531
TCGA_CU_A0YN_01A,PSMA4_UBC,3.02078
TCGA_CU_A0YN_01A,PSMA4_PSMD8,2.43809
TCGA_CU_A0YN_01A,PSMA4_PSMC6,2.18064
TCGA_CU_A0YN_01A,PSMA4_PSMB3,3.02367
TCGA_CU_A0YN_01A,PSMA4_PSMC1,1.94489
TCGA_CU_A0YN_01A,PSMA4_PSMB8,2.17323
TCGA_CU_A0YN_01A,PSMA4_PSMD14,2.13011
TCGA_CU_A0YN_01A,PSMA4_PSMB9,1.98476
TCGA_CU_A0YN_01A,PSMA4_PSMD1,2.07376
TCGA_CU_A0YN_01A,PSMA4_PSMB2,2.51139
TCGA_CU_A0YN_01A,PSMA4_PSMA5,2.62735
TCGA_CU_A0YN_01A,PSMA4_PSMD2,3.08744
TCGA_CU_A0YN_01A,PSMA4_PSMA8,1.10425
TCGA_CU_A0YN_01A,PSMA4_PSMD7,2.15859
TCGA_CU_A0YN_01A,PSMA4_PSMB1,2.6746
TCGA_CU_A0YN_01A,PSMA4_PSMD13,2.53113
TCGA_CU_A0YN_01A,PSMA4_PSMA6,1.4231
TCGA_CU_A0YN_01A,PSMA4_RPS27A,3.20617
TCGA_CU_A0YN_01A,PSMA4_PSMD12,2.3942
TCGA_CU_A0YN_01A,PSMA4_UBQLN4,2.35822
TCGA_CU_A0YN_01A,PSMA4_PSMB6,3.08167
TCGA_CU_A0YN_01A,PSMA4_PSME1,2.66569
TCGA_CU_A0YN_01A,PSMA4_PSMB4,2.72658
TCGA_CU_A0YN_01A,PSMA4_PSMB5,2.70546
TCGA_CU_A0YN_01A,PSMA4_PSMD6,2.0356
TCGA_CU_A0YN_01A,PSMA4_PSMB7,2.73398
TCGA_CU_A0YN_01A,PSMA4_UCHL5,2.02083
TCGA_CU_A0YN_01A,PSMA4_PSMF1,2.23789
TCGA_CU_A0YN_01A,PSMA4_PSMB10,1.90435
TCGA_CU_A0YN_01A,PSMA4_UBB,2.98978
TCGA_CU_A0YN_01A,PSMA4_PSMG2,2.52103
TCGA_CU_A0YN_01A,PSMA4_PSMD3,2.49874
